timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Municipality,KwaDukuza,No,31951,31.4,,,,,KwaZulu-Natal,iLembe,KwaDukuza,DsSchoolAttendences
Census 2022,Municipality,Mandeni,Yes,48410,75.4,,,,,KwaZulu-Natal,iLembe,Mandeni,DsSchoolAttendences
Census 2022,Municipality,Mandeni,No,15788,24.6,,,,,KwaZulu-Natal,iLembe,Mandeni,DsSchoolAttendences
Census 2022,Municipality,Maphumulo,Yes,34308,79.3,,,,,KwaZulu-Natal,iLembe,Maphumulo,DsSchoolAttendences
Census 2022,Municipality,Maphumulo,No,8979,20.7,,,,,KwaZulu-Natal,iLembe,Maphumulo,DsSchoolAttendences
Census 2022,Municipality,Ndwedwe,Yes,46790,77.7,,,,,KwaZulu-Natal,iLembe,Ndwedwe,DsSchoolAttendences
Census 2022,Municipality,Ndwedwe,No,13451,22.3,,,,,KwaZulu-Natal,iLembe,Ndwedwe,DsSchoolAttendences
Census 2022,Municipality,Mfolozi,Yes,43435,74.9,,,,,KwaZulu-Natal,King Cetshwayo,Mfolozi,DsSchoolAttendences
Census 2022,Municipality,Mfolozi,No,14580,25.1,,,,,KwaZulu-Natal,King Cetshwayo,Mfolozi,DsSchoolAttendences
Census 2022,Municipality,Mthonjaneni,Yes,28030,78.7,,,,,KwaZulu-Natal,King Cetshwayo,Mthonjaneni,DsSchoolAttendences
Census 2022,Municipality,Mthonjaneni,No,7603,21.3,,,,,KwaZulu-Natal,King Cetshwayo,Mthonjaneni,DsSchoolAttendences
Census 2022,Municipality,Nkandla,Yes,33442,83.7,,,,,KwaZulu-Natal,King Cetshwayo,Nkandla,DsSchoolAttendences
Census 2022,Municipality,Nkandla,No,6526,16.3,,,,,KwaZulu-Natal,King Cetshwayo,Nkandla,DsSchoolAttendences
Census 2022,Municipality,uMhlathuze,Yes,99060,73.3,,,,,KwaZulu-Natal,King Cetshwayo,uMhlathuze,DsSchoolAttendences
Census 2022,Municipality,uMhlathuze,No,36174,26.7,,,,,KwaZulu-Natal,King Cetshwayo,uMhlathuze,DsSchoolAttendences
Census 2022,Municipality,uMlalazi,Yes,66784,78.0,,,,,KwaZulu-Natal,King Cetshwayo,uMlalazi,DsSchoolAttendences
Census 2022,Municipality,uMlalazi,No,18870,22.0,,,,,KwaZulu-Natal,King Cetshwayo,uMlalazi,DsSchoolAttendences
