timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Inxuba Yethemba,Removed by local authority at least once a week,19302,83.9,Eastern Cape,Chris Hani,Inxuba Yethemba,DsRefuseDisposals
Census 2022,Municipality,Inxuba Yethemba,Removed by local authority less often,256,1.1,Eastern Cape,Chris Hani,Inxuba Yethemba,DsRefuseDisposals
Census 2022,Municipality,Inxuba Yethemba,Communal refuse dump,262,1.1,Eastern Cape,Chris Hani,Inxuba Yethemba,DsRefuseDisposals
Census 2022,Municipality,Inxuba Yethemba,Communal container/central collection point,1648,7.2,Eastern Cape,Chris Hani,Inxuba Yethemba,DsRefuseDisposals
Census 2022,Municipality,Inxuba Yethemba,Own refuse dump,859,3.7,Eastern Cape,Chris Hani,Inxuba Yethemba,DsRefuseDisposals
Census 2022,Municipality,Inxuba Yethemba,No Rubbish Disposal,573,2.5,Eastern Cape,Chris Hani,Inxuba Yethemba,DsRefuseDisposals
Census 2022,Municipality,Inxuba Yethemba,Other,94,0.4,Eastern Cape,Chris Hani,Inxuba Yethemba,DsRefuseDisposals
Census 2022,Municipality,Sakhisizwe,Removed by local authority at least once a week,5669,32.7,Eastern Cape,Chris Hani,Sakhisizwe,DsRefuseDisposals
Census 2022,Municipality,Sakhisizwe,Removed by local authority less often,22,0.1,Eastern Cape,Chris Hani,Sakhisizwe,DsRefuseDisposals
Census 2022,Municipality,Sakhisizwe,Communal refuse dump,141,0.8,Eastern Cape,Chris Hani,Sakhisizwe,DsRefuseDisposals
Census 2022,Municipality,Sakhisizwe,Communal container/central collection point,42,0.2,Eastern Cape,Chris Hani,Sakhisizwe,DsRefuseDisposals
Census 2022,Municipality,Sakhisizwe,Own refuse dump,7855,45.3,Eastern Cape,Chris Hani,Sakhisizwe,DsRefuseDisposals
Census 2022,Municipality,Sakhisizwe,No Rubbish Disposal,3082,17.8,Eastern Cape,Chris Hani,Sakhisizwe,DsRefuseDisposals
Census 2022,Municipality,Sakhisizwe,Other,544,3.1,Eastern Cape,Chris Hani,Sakhisizwe,DsRefuseDisposals
Census 2022,Municipality,Elundini,Removed by local authority at least once a week,18910,45.9,Eastern Cape,Joe Gqabi,Elundini,DsRefuseDisposals
Census 2022,Municipality,Elundini,Removed by local authority less often,332,0.8,Eastern Cape,Joe Gqabi,Elundini,DsRefuseDisposals
