timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Municipality,Nelson Mandela Bay,Other,6705,0.9,,,,,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsHighestLevelEducations
Census 2022,Municipality,King Sabata Dalindyebo,No Schooling,26251,10.2,,,,,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsHighestLevelEducations
Census 2022,Municipality,King Sabata Dalindyebo,Some Primary,27313,10.6,,,,,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsHighestLevelEducations
Census 2022,Municipality,King Sabata Dalindyebo,Completed Primary,11711,4.6,,,,,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsHighestLevelEducations
Census 2022,Municipality,King Sabata Dalindyebo,Some Secondary,92329,35.9,,,,,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsHighestLevelEducations
Census 2022,Municipality,King Sabata Dalindyebo,Grade 12/Std10,65825,25.6,,,,,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsHighestLevelEducations
Census 2022,Municipality,King Sabata Dalindyebo,Higher Education,32280,12.5,,,,,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsHighestLevelEducations
Census 2022,Municipality,King Sabata Dalindyebo,Other,1659,0.6,,,,,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsHighestLevelEducations
Census 2022,Municipality,Mhlontlo,No Schooling,10960,11.4,,,,,Eastern Cape,O.R. Tambo,Mhlontlo,DsHighestLevelEducations
Census 2022,Municipality,Mhlontlo,Some Primary,15805,16.4,,,,,Eastern Cape,O.R. Tambo,Mhlontlo,DsHighestLevelEducations
Census 2022,Municipality,Mhlontlo,Completed Primary,6177,6.4,,,,,Eastern Cape,O.R. Tambo,Mhlontlo,DsHighestLevelEducations
Census 2022,Municipality,Mhlontlo,Some Secondary,39316,40.7,,,,,Eastern Cape,O.R. Tambo,Mhlontlo,DsHighestLevelEducations
Census 2022,Municipality,Mhlontlo,Grade 12/Std10,18580,19.2,,,,,Eastern Cape,O.R. Tambo,Mhlontlo,DsHighestLevelEducations
Census 2022,Municipality,Mhlontlo,Higher Education,5234,5.4,,,,,Eastern Cape,O.R. Tambo,Mhlontlo,DsHighestLevelEducations
Census 2022,Municipality,Mhlontlo,Other,458,0.5,,,,,Eastern Cape,O.R. Tambo,Mhlontlo,DsHighestLevelEducations
Census 2022,Municipality,Ngquza Hill,No Schooling,21520,12.9,,,,,Eastern Cape,O.R. Tambo,Ngquza Hill,DsHighestLevelEducations
Census 2022,Municipality,Ngquza Hill,Some Primary,26005,15.6,,,,,Eastern Cape,O.R. Tambo,Ngquza Hill,DsHighestLevelEducations
Census 2022,Municipality,Ngquza Hill,Completed Primary,9040,5.4,,,,,Eastern Cape,O.R. Tambo,Ngquza Hill,DsHighestLevelEducations
Census 2022,Municipality,Ngquza Hill,Some Secondary,63480,38.1,,,,,Eastern Cape,O.R. Tambo,Ngquza Hill,DsHighestLevelEducations
Census 2022,Municipality,Ngquza Hill,Grade 12/Std10,33726,20.2,,,,,Eastern Cape,O.R. Tambo,Ngquza Hill,DsHighestLevelEducations
Census 2022,Municipality,Ngquza Hill,Higher Education,12001,7.2,,,,,Eastern Cape,O.R. Tambo,Ngquza Hill,DsHighestLevelEducations
Census 2022,Municipality,Ngquza Hill,Other,872,0.5,,,,,Eastern Cape,O.R. Tambo,Ngquza Hill,DsHighestLevelEducations
Census 2022,Municipality,Nyandeni,No Schooling,18784,12.7,,,,,Eastern Cape,O.R. Tambo,Nyandeni,DsHighestLevelEducations
Census 2022,Municipality,Nyandeni,Some Primary,22116,14.9,,,,,Eastern Cape,O.R. Tambo,Nyandeni,DsHighestLevelEducations
Census 2022,Municipality,Nyandeni,Completed Primary,8220,5.5,,,,,Eastern Cape,O.R. Tambo,Nyandeni,DsHighestLevelEducations
Census 2022,Municipality,Nyandeni,Some Secondary,58064,39.1,,,,,Eastern Cape,O.R. Tambo,Nyandeni,DsHighestLevelEducations
Census 2022,Municipality,Nyandeni,Grade 12/Std10,31420,21.2,,,,,Eastern Cape,O.R. Tambo,Nyandeni,DsHighestLevelEducations
Census 2022,Municipality,Nyandeni,Higher Education,9173,6.2,,,,,Eastern Cape,O.R. Tambo,Nyandeni,DsHighestLevelEducations
Census 2022,Municipality,Nyandeni,Other,603,0.4,,,,,Eastern Cape,O.R. Tambo,Nyandeni,DsHighestLevelEducations
Census 2022,Municipality,Port St Johns,No Schooling,12618,14.8,,,,,Eastern Cape,O.R. Tambo,Port St Johns,DsHighestLevelEducations
Census 2022,Municipality,Port St Johns,Some Primary,14865,17.4,,,,,Eastern Cape,O.R. Tambo,Port St Johns,DsHighestLevelEducations
Census 2022,Municipality,Port St Johns,Completed Primary,4832,5.7,,,,,Eastern Cape,O.R. Tambo,Port St Johns,DsHighestLevelEducations
Census 2022,Municipality,Port St Johns,Some Secondary,30828,36.2,,,,,Eastern Cape,O.R. Tambo,Port St Johns,DsHighestLevelEducations
Census 2022,Municipality,Port St Johns,Grade 12/Std10,17220,20.2,,,,,Eastern Cape,O.R. Tambo,Port St Johns,DsHighestLevelEducations
Census 2022,Municipality,Port St Johns,Higher Education,4457,5.2,,,,,Eastern Cape,O.R. Tambo,Port St Johns,DsHighestLevelEducations
Census 2022,Municipality,Port St Johns,Other,397,0.5,,,,,Eastern Cape,O.R. Tambo,Port St Johns,DsHighestLevelEducations
Census 2022,Municipality,Blue Crane Route,No Schooling,2475,7.8,,,,,Eastern Cape,Sarah Baartman,Blue Crane Route,DsHighestLevelEducations
Census 2022,Municipality,Blue Crane Route,Some Primary,4373,13.8,,,,,Eastern Cape,Sarah Baartman,Blue Crane Route,DsHighestLevelEducations
Census 2022,Municipality,Blue Crane Route,Completed Primary,2255,7.1,,,,,Eastern Cape,Sarah Baartman,Blue Crane Route,DsHighestLevelEducations
Census 2022,Municipality,Blue Crane Route,Some Secondary,11197,35.5,,,,,Eastern Cape,Sarah Baartman,Blue Crane Route,DsHighestLevelEducations
Census 2022,Municipality,Blue Crane Route,Grade 12/Std10,8603,27.2,,,,,Eastern Cape,Sarah Baartman,Blue Crane Route,DsHighestLevelEducations
