timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Engcobo,Bucket toilet,2.2,Eastern Cape,Chris Hani,Engcobo,DsMainToiletFacilitys
Census 2022,Municipality,Engcobo,Other,3.5,Eastern Cape,Chris Hani,Engcobo,DsMainToiletFacilitys
Census 2022,Municipality,Engcobo,None,10.1,Eastern Cape,Chris Hani,Engcobo,DsMainToiletFacilitys
Census 2022,Municipality,Enoch Mgijima,Flush toilet,72.2,Eastern Cape,Chris Hani,Enoch Mgijima,DsMainToiletFacilitys
Census 2022,Municipality,Enoch Mgijima,Chemical toilet,1.7,Eastern Cape,Chris Hani,Enoch Mgijima,DsMainToiletFacilitys
Census 2022,Municipality,Enoch Mgijima,Pit toilet,22.4,Eastern Cape,Chris Hani,Enoch Mgijima,DsMainToiletFacilitys
Census 2022,Municipality,Enoch Mgijima,Bucket toilet,0.8,Eastern Cape,Chris Hani,Enoch Mgijima,DsMainToiletFacilitys
Census 2022,Municipality,Enoch Mgijima,Other,0.9,Eastern Cape,Chris Hani,Enoch Mgijima,DsMainToiletFacilitys
Census 2022,Municipality,Enoch Mgijima,None,2.1,Eastern Cape,Chris Hani,Enoch Mgijima,DsMainToiletFacilitys
Census 2022,Municipality,Intsika Yethu,Flush toilet,31.9,Eastern Cape,Chris Hani,Intsika Yethu,DsMainToiletFacilitys
Census 2022,Municipality,Intsika Yethu,Chemical toilet,9.2,Eastern Cape,Chris Hani,Intsika Yethu,DsMainToiletFacilitys
Census 2022,Municipality,Intsika Yethu,Pit toilet,48.2,Eastern Cape,Chris Hani,Intsika Yethu,DsMainToiletFacilitys
Census 2022,Municipality,Intsika Yethu,Bucket toilet,0.7,Eastern Cape,Chris Hani,Intsika Yethu,DsMainToiletFacilitys
Census 2022,Municipality,Intsika Yethu,Other,3.5,Eastern Cape,Chris Hani,Intsika Yethu,DsMainToiletFacilitys
Census 2022,Municipality,Intsika Yethu,None,6.5,Eastern Cape,Chris Hani,Intsika Yethu,DsMainToiletFacilitys
Census 2022,Municipality,Inxuba Yethemba,Flush toilet,95.3,Eastern Cape,Chris Hani,Inxuba Yethemba,DsMainToiletFacilitys
Census 2022,Municipality,Inxuba Yethemba,Chemical toilet,0.6,Eastern Cape,Chris Hani,Inxuba Yethemba,DsMainToiletFacilitys
Census 2022,Municipality,Inxuba Yethemba,Pit toilet,1.0,Eastern Cape,Chris Hani,Inxuba Yethemba,DsMainToiletFacilitys
Census 2022,Municipality,Inxuba Yethemba,Bucket toilet,0.5,Eastern Cape,Chris Hani,Inxuba Yethemba,DsMainToiletFacilitys
Census 2022,Municipality,Inxuba Yethemba,Other,0.4,Eastern Cape,Chris Hani,Inxuba Yethemba,DsMainToiletFacilitys
Census 2022,Municipality,Inxuba Yethemba,None,2.2,Eastern Cape,Chris Hani,Inxuba Yethemba,DsMainToiletFacilitys
Census 2022,Municipality,Sakhisizwe,Flush toilet,44.9,Eastern Cape,Chris Hani,Sakhisizwe,DsMainToiletFacilitys
Census 2022,Municipality,Sakhisizwe,Chemical toilet,7.5,Eastern Cape,Chris Hani,Sakhisizwe,DsMainToiletFacilitys
Census 2022,Municipality,Sakhisizwe,Pit toilet,40.2,Eastern Cape,Chris Hani,Sakhisizwe,DsMainToiletFacilitys
Census 2022,Municipality,Sakhisizwe,Bucket toilet,0.3,Eastern Cape,Chris Hani,Sakhisizwe,DsMainToiletFacilitys
