timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Municipality,Nqutu,FEMALE,108074,53.7,,,,,KwaZulu-Natal,Umzinyathi,Nqutu,DsSexes
Census 2022,Municipality,Umvoti,MALE,63204,44.5,,,,,KwaZulu-Natal,Umzinyathi,Umvoti,DsSexes
Census 2022,Municipality,Umvoti,FEMALE,78837,55.5,,,,,KwaZulu-Natal,Umzinyathi,Umvoti,DsSexes
Census 2022,Municipality,Alfred Duma,MALE,193713,46.7,,,,,KwaZulu-Natal,Uthukela,Alfred Duma,DsSexes
Census 2022,Municipality,Alfred Duma,FEMALE,221323,53.3,,,,,KwaZulu-Natal,Uthukela,Alfred Duma,DsSexes
Census 2022,Municipality,Inkosi Langalibalele,MALE,107711,46.6,,,,,KwaZulu-Natal,Uthukela,Inkosi Langalibalele,DsSexes
Census 2022,Municipality,Inkosi Langalibalele,FEMALE,123213,53.4,,,,,KwaZulu-Natal,Uthukela,Inkosi Langalibalele,DsSexes
Census 2022,Municipality,Okhahlamba,MALE,66227,46.3,,,,,KwaZulu-Natal,Uthukela,Okhahlamba,DsSexes
Census 2022,Municipality,Okhahlamba,FEMALE,76906,53.7,,,,,KwaZulu-Natal,Uthukela,Okhahlamba,DsSexes
Census 2022,Municipality,Abaqulusi,MALE,116369,47.1,,,,,KwaZulu-Natal,Zululand,Abaqulusi,DsSexes
Census 2022,Municipality,Abaqulusi,FEMALE,130894,52.9,,,,,KwaZulu-Natal,Zululand,Abaqulusi,DsSexes
Census 2022,Municipality,eDumbe,MALE,45519,47.1,,,,,KwaZulu-Natal,Zululand,eDumbe,DsSexes
Census 2022,Municipality,eDumbe,FEMALE,51216,52.9,,,,,KwaZulu-Natal,Zululand,eDumbe,DsSexes
Census 2022,Municipality,Nongoma,MALE,102241,45.4,,,,,KwaZulu-Natal,Zululand,Nongoma,DsSexes
Census 2022,Municipality,Nongoma,FEMALE,123038,54.6,,,,,KwaZulu-Natal,Zululand,Nongoma,DsSexes
Census 2022,Municipality,Ulundi,MALE,101394,45.7,,,,,KwaZulu-Natal,Zululand,Ulundi,DsSexes
Census 2022,Municipality,Ulundi,FEMALE,120583,54.3,,,,,KwaZulu-Natal,Zululand,Ulundi,DsSexes
Census 2022,Municipality,uPhongolo,MALE,71269,47.0,,,,,KwaZulu-Natal,Zululand,uPhongolo,DsSexes
Census 2022,Municipality,uPhongolo,FEMALE,80271,53.0,,,,,KwaZulu-Natal,Zululand,uPhongolo,DsSexes
Census 2022,Municipality,Blouberg,MALE,87948,45.8,,,,,Limpopo,Capricorn,Blouberg,DsSexes
Census 2022,Municipality,Blouberg,FEMALE,104162,54.2,,,,,Limpopo,Capricorn,Blouberg,DsSexes
